AcceptedNameGBIF;OriginalNameDB;ID_GBIF;Kingdom;Order;Family;Phylum;Class;EstablishmentMeans;Pathways;FunctionalGroup;Group;NativeCountry;InvadedCountry;InvadedCountryISO3;AffectedNativeSpecies;EICATImpact;Mechanisms;EICAT_by_Mechanism;Habitat;FirstRecords;OldestDate;Source_Data
Pacifastacus leniusculus;Pacifastacus leniusculus;2226990;Metazoa;decapoda;Astacidae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Setaria geminata;Paspalidium geminatum;4117082;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Paspalum distichum;Paspalum distichum;2705622;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Paspalum urvillei;Paspalum urvillei;2705650;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Paspalum vaginatum;Paspalum vaginatum;8100050;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Pelophylax bedriagae;Pelophylax cf;2426640;Metazoa;anura;Ranidae;chordata;amphibia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Perca flavescens;Perca flavescens;2382004;Metazoa;perciformes;Percidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Perca fluviatilis;Perca fluviatilis;8140485;Metazoa;perciformes;Percidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Perccottus glenii;Perccottus glenii;2390064;Metazoa;perciformes;Odontobutidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Petromyzon marinus;Petromyzon marinus;8236498;Metazoa;petromyzontiformes;Petromyzontidae;chordata;cephalaspidomorphi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Phalloceros caudimaculatus;Phalloceros caudimaculatus;2350105;Metazoa;cyprinodontiformes;Poeciliidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Phormium tenax;Phormium tenax;2778511;Plantae;asparagales;Xanthorrhoeaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Phoxinus phoxinus;Phoxinus phoxinus;4409653;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
